go_id	raw_size	covered_size	n_input	n_readout	representative
GOBP_ANTEROGRADE_NEURONAL_DENSE_CORE_VESICLE_TRANSPORT	6	3	2	1	GOBP_ANTEROGRADE_NEURONAL_DENSE_CORE_VESICLE_TRANSPORT
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	79	52	26	26	GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE
GOBP_ANTIBACTERIAL_INNATE_IMMUNE_RESPONSE	12	4	2	2	GOBP_ANTIBACTERIAL_INNATE_IMMUNE_RESPONSE
GOBP_ANTIBACTERIAL_PEPTIDE_PRODUCTION	9	8	4	4	GOBP_ANTIBACTERIAL_PEPTIDE_PRODUCTION
GOBP_ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY	10	7	4	3	GOBP_ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY
GOBP_ANTIFUNGAL_HUMORAL_RESPONSE	13	10	5	5	GOBP_ANTIFUNGAL_HUMORAL_RESPONSE
GOBP_ANTIFUNGAL_INNATE_IMMUNE_RESPONSE	23	13	7	6	GOBP_ANTIFUNGAL_INNATE_IMMUNE_RESPONSE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	120	71	36	35	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_ENDOGENOUS_LIPID_ANTIGEN_VIA_MHC_CLASS_IB	5	4	2	2	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_ENDOGENOUS_LIPID_ANTIGEN_VIA_MHC_CLASS_IB
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	31	19	10	9	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	24	14	7	7	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	50	34	17	17	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	41	30	15	15	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	9	6	3	3	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	31	23	12	11	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_LIPID_ANTIGEN_VIA_MHC_CLASS_IB	7	4	2	2	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_ENDOGENOUS_LIPID_ANTIGEN_VIA_MHC_CLASS_IB
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	72	44	22	22	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN
